prefix,key,s3_uri,size,last_modified
tenant_boletin,tenant_boletin/,s3://rag-documents-prod-913123310997/tenant_boletin/,0,2026-04-22T05:37:47+00:00
tenant_boletin,tenant_boletin/05032266-f6e1-48cb-9248-bc116652c7c7/,s3://rag-documents-prod-913123310997/tenant_boletin/05032266-f6e1-48cb-9248-bc116652c7c7/,0,2026-04-22T05:38:01+00:00
tenant_boletin,tenant_boletin/05032266-f6e1-48cb-9248-bc116652c7c7/documents/,s3://rag-documents-prod-913123310997/tenant_boletin/05032266-f6e1-48cb-9248-bc116652c7c7/documents/,0,2026-04-22T05:38:16+00:00
tenant_boletin,tenant_boletin/05032266-f6e1-48cb-9248-bc116652c7c7/documents/20260407/primera/aviso_primera_20260407_primera_020919.pdf,s3://rag-documents-prod-913123310997/tenant_boletin/05032266-f6e1-48cb-9248-bc116652c7c7/documents/20260407/primera/aviso_primera_20260407_primera_020919.pdf,190120,2026-04-23T02:09:20+00:00
tenant_boletin,tenant_boletin/05032266-f6e1-48cb-9248-bc116652c7c7/documents/20260407/primera/aviso_primera_20260407_primera_020921.pdf,s3://rag-documents-prod-913123310997/tenant_boletin/05032266-f6e1-48cb-9248-bc116652c7c7/documents/20260407/primera/aviso_primera_20260407_primera_020921.pdf,190744,2026-04-23T02:09:22+00:00
tenant_boletin,tenant_boletin/05032266-f6e1-48cb-9248-bc116652c7c7/documents/20260407/primera/aviso_primera_20260407_primera_020922.pdf,s3://rag-documents-prod-913123310997/tenant_boletin/05032266-f6e1-48cb-9248-bc116652c7c7/documents/20260407/primera/aviso_primera_20260407_primera_020922.pdf,191025,2026-04-23T02:09:23+00:00
tenant_boletin,tenant_boletin/05032266-f6e1-48cb-9248-bc116652c7c7/documents/20260407/primera/aviso_primera_20260407_primera_020924.pdf,s3://rag-documents-prod-913123310997/tenant_boletin/05032266-f6e1-48cb-9248-bc116652c7c7/documents/20260407/primera/aviso_primera_20260407_primera_020924.pdf,190878,2026-04-23T02:09:25+00:00
tenant_boletin,tenant_boletin/05032266-f6e1-48cb-9248-bc116652c7c7/documents/20260407/primera/aviso_primera_20260407_primera_020925.pdf,s3://rag-documents-prod-913123310997/tenant_boletin/05032266-f6e1-48cb-9248-bc116652c7c7/documents/20260407/primera/aviso_primera_20260407_primera_020925.pdf,197887,2026-04-23T02:09:26+00:00
tenant_boletin,tenant_boletin/05032266-f6e1-48cb-9248-bc116652c7c7/documents/20260407/primera/aviso_primera_20260407_primera_020927.pdf,s3://rag-documents-prod-913123310997/tenant_boletin/05032266-f6e1-48cb-9248-bc116652c7c7/documents/20260407/primera/aviso_primera_20260407_primera_020927.pdf,198909,2026-04-23T02:09:28+00:00
tenant_boletin,tenant_boletin/05032266-f6e1-48cb-9248-bc116652c7c7/documents/20260407/primera/aviso_primera_20260407_primera_020928.pdf,s3://rag-documents-prod-913123310997/tenant_boletin/05032266-f6e1-48cb-9248-bc116652c7c7/documents/20260407/primera/aviso_primera_20260407_primera_020928.pdf,199678,2026-04-23T02:09:29+00:00
tenant_boletin,tenant_boletin/05032266-f6e1-48cb-9248-bc116652c7c7/documents/20260407/primera/aviso_primera_20260407_primera_020930.pdf,s3://rag-documents-prod-913123310997/tenant_boletin/05032266-f6e1-48cb-9248-bc116652c7c7/documents/20260407/primera/aviso_primera_20260407_primera_020930.pdf,197642,2026-04-23T02:09:31+00:00
tenant_boletin,tenant_boletin/05032266-f6e1-48cb-9248-bc116652c7c7/documents/20260407/primera/aviso_primera_20260407_primera_020931.pdf,s3://rag-documents-prod-913123310997/tenant_boletin/05032266-f6e1-48cb-9248-bc116652c7c7/documents/20260407/primera/aviso_primera_20260407_primera_020931.pdf,199106,2026-04-23T02:09:32+00:00
tenant_boletin,tenant_boletin/05032266-f6e1-48cb-9248-bc116652c7c7/documents/20260407/primera/aviso_primera_20260407_primera_020932.pdf,s3://rag-documents-prod-913123310997/tenant_boletin/05032266-f6e1-48cb-9248-bc116652c7c7/documents/20260407/primera/aviso_primera_20260407_primera_020932.pdf,196092,2026-04-23T02:09:33+00:00
tenant_boletin,tenant_boletin/05032266-f6e1-48cb-9248-bc116652c7c7/documents/20260407/primera/aviso_primera_20260407_primera_020934.pdf,s3://rag-documents-prod-913123310997/tenant_boletin/05032266-f6e1-48cb-9248-bc116652c7c7/documents/20260407/primera/aviso_primera_20260407_primera_020934.pdf,198229,2026-04-23T02:09:35+00:00
tenant_boletin,tenant_boletin/05032266-f6e1-48cb-9248-bc116652c7c7/documents/20260407/primera/aviso_primera_20260407_primera_020935.pdf,s3://rag-documents-prod-913123310997/tenant_boletin/05032266-f6e1-48cb-9248-bc116652c7c7/documents/20260407/primera/aviso_primera_20260407_primera_020935.pdf,198021,2026-04-23T02:09:36+00:00
tenant_boletin,tenant_boletin/05032266-f6e1-48cb-9248-bc116652c7c7/documents/20260407/primera/aviso_primera_20260407_primera_020937.pdf,s3://rag-documents-prod-913123310997/tenant_boletin/05032266-f6e1-48cb-9248-bc116652c7c7/documents/20260407/primera/aviso_primera_20260407_primera_020937.pdf,197977,2026-04-23T02:09:38+00:00
tenant_boletin,tenant_boletin/05032266-f6e1-48cb-9248-bc116652c7c7/documents/20260407/primera/aviso_primera_20260407_primera_020938.pdf,s3://rag-documents-prod-913123310997/tenant_boletin/05032266-f6e1-48cb-9248-bc116652c7c7/documents/20260407/primera/aviso_primera_20260407_primera_020938.pdf,196924,2026-04-23T02:09:39+00:00
tenant_boletin,tenant_boletin/05032266-f6e1-48cb-9248-bc116652c7c7/documents/20260407/primera/aviso_primera_20260407_primera_020940.pdf,s3://rag-documents-prod-913123310997/tenant_boletin/05032266-f6e1-48cb-9248-bc116652c7c7/documents/20260407/primera/aviso_primera_20260407_primera_020940.pdf,194089,2026-04-23T02:09:41+00:00
tenant_boletin,tenant_boletin/05032266-f6e1-48cb-9248-bc116652c7c7/documents/20260407/primera/aviso_primera_20260407_primera_020942.pdf,s3://rag-documents-prod-913123310997/tenant_boletin/05032266-f6e1-48cb-9248-bc116652c7c7/documents/20260407/primera/aviso_primera_20260407_primera_020942.pdf,196871,2026-04-23T02:09:43+00:00
tenant_boletin,tenant_boletin/05032266-f6e1-48cb-9248-bc116652c7c7/documents/20260407/primera/aviso_primera_20260407_primera_020945.pdf,s3://rag-documents-prod-913123310997/tenant_boletin/05032266-f6e1-48cb-9248-bc116652c7c7/documents/20260407/primera/aviso_primera_20260407_primera_020945.pdf,205324,2026-04-23T02:09:46+00:00
tenant_boletin,tenant_boletin/05032266-f6e1-48cb-9248-bc116652c7c7/documents/20260407/primera/aviso_primera_20260407_primera_020946.pdf,s3://rag-documents-prod-913123310997/tenant_boletin/05032266-f6e1-48cb-9248-bc116652c7c7/documents/20260407/primera/aviso_primera_20260407_primera_020946.pdf,196441,2026-04-23T02:09:47+00:00
tenant_boletin,tenant_boletin/05032266-f6e1-48cb-9248-bc116652c7c7/documents/20260407/primera/aviso_primera_20260407_primera_020948.pdf,s3://rag-documents-prod-913123310997/tenant_boletin/05032266-f6e1-48cb-9248-bc116652c7c7/documents/20260407/primera/aviso_primera_20260407_primera_020948.pdf,196290,2026-04-23T02:09:49+00:00
tenant_boletin,tenant_boletin/05032266-f6e1-48cb-9248-bc116652c7c7/documents/20260407?anexos=1/primera/aviso_primera_20260407?anexos=1_primera_020943.pdf,s3://rag-documents-prod-913123310997/tenant_boletin/05032266-f6e1-48cb-9248-bc116652c7c7/documents/20260407?anexos=1/primera/aviso_primera_20260407?anexos=1_primera_020943.pdf,205324,2026-04-23T03:08:02+00:00
tenant_boletin,tenant_boletin/05032266-f6e1-48cb-9248-bc116652c7c7/documents/20260408/primera/aviso_primera_20260408_primera_020418.pdf,s3://rag-documents-prod-913123310997/tenant_boletin/05032266-f6e1-48cb-9248-bc116652c7c7/documents/20260408/primera/aviso_primera_20260408_primera_020418.pdf,197431,2026-04-23T02:04:19+00:00
tenant_boletin,tenant_boletin/05032266-f6e1-48cb-9248-bc116652c7c7/documents/20260408/primera/aviso_primera_20260408_primera_020421.pdf,s3://rag-documents-prod-913123310997/tenant_boletin/05032266-f6e1-48cb-9248-bc116652c7c7/documents/20260408/primera/aviso_primera_20260408_primera_020421.pdf,199615,2026-04-23T02:04:22+00:00
tenant_boletin,tenant_boletin/05032266-f6e1-48cb-9248-bc116652c7c7/documents/20260408/primera/aviso_primera_20260408_primera_020424.pdf,s3://rag-documents-prod-913123310997/tenant_boletin/05032266-f6e1-48cb-9248-bc116652c7c7/documents/20260408/primera/aviso_primera_20260408_primera_020424.pdf,197561,2026-04-23T02:04:25+00:00
tenant_boletin,tenant_boletin/05032266-f6e1-48cb-9248-bc116652c7c7/documents/20260408/primera/aviso_primera_20260408_primera_020426.pdf,s3://rag-documents-prod-913123310997/tenant_boletin/05032266-f6e1-48cb-9248-bc116652c7c7/documents/20260408/primera/aviso_primera_20260408_primera_020426.pdf,200854,2026-04-23T02:04:27+00:00
tenant_boletin,tenant_boletin/05032266-f6e1-48cb-9248-bc116652c7c7/documents/20260408/primera/aviso_primera_20260408_primera_020427.pdf,s3://rag-documents-prod-913123310997/tenant_boletin/05032266-f6e1-48cb-9248-bc116652c7c7/documents/20260408/primera/aviso_primera_20260408_primera_020427.pdf,195995,2026-04-23T02:04:28+00:00
tenant_boletin,tenant_boletin/05032266-f6e1-48cb-9248-bc116652c7c7/documents/20260408/primera/aviso_primera_20260408_primera_020430.pdf,s3://rag-documents-prod-913123310997/tenant_boletin/05032266-f6e1-48cb-9248-bc116652c7c7/documents/20260408/primera/aviso_primera_20260408_primera_020430.pdf,193807,2026-04-23T02:04:31+00:00
tenant_boletin,tenant_boletin/05032266-f6e1-48cb-9248-bc116652c7c7/documents/20260408/primera/aviso_primera_20260408_primera_020431.pdf,s3://rag-documents-prod-913123310997/tenant_boletin/05032266-f6e1-48cb-9248-bc116652c7c7/documents/20260408/primera/aviso_primera_20260408_primera_020431.pdf,194325,2026-04-23T02:04:32+00:00
tenant_boletin,tenant_boletin/05032266-f6e1-48cb-9248-bc116652c7c7/documents/20260408/primera/aviso_primera_20260408_primera_020433.pdf,s3://rag-documents-prod-913123310997/tenant_boletin/05032266-f6e1-48cb-9248-bc116652c7c7/documents/20260408/primera/aviso_primera_20260408_primera_020433.pdf,196566,2026-04-23T02:04:34+00:00
tenant_boletin,tenant_boletin/05032266-f6e1-48cb-9248-bc116652c7c7/documents/20260408/primera/aviso_primera_20260408_primera_020434.pdf,s3://rag-documents-prod-913123310997/tenant_boletin/05032266-f6e1-48cb-9248-bc116652c7c7/documents/20260408/primera/aviso_primera_20260408_primera_020434.pdf,196645,2026-04-23T02:04:35+00:00
tenant_boletin,tenant_boletin/05032266-f6e1-48cb-9248-bc116652c7c7/documents/20260408/primera/aviso_primera_20260408_primera_020436.pdf,s3://rag-documents-prod-913123310997/tenant_boletin/05032266-f6e1-48cb-9248-bc116652c7c7/documents/20260408/primera/aviso_primera_20260408_primera_020436.pdf,194392,2026-04-23T02:04:37+00:00
